epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.507,1.40058,1.12643,1.11038,0.89067,0.22605,0.44383,0.25559,1.77811,2.59744,1.51421,0.00032,0.00032,0.00032
2,33.5025,1.29807,0.95586,1.06848,0.86648,0.60948,0.73421,0.46852,1.30231,1.72033,1.15811,0.000651514,0.000651514,0.000651514
3,47.4653,1.22078,0.88108,1.03321,0.81386,0.81537,0.86367,0.54575,1.26054,1.15983,1.07908,0.000974286,0.000974286,0.000974286
4,60.179,1.18367,0.82582,1.02591,0.86994,0.8826,0.93454,0.63744,1.12885,0.7425,1.00177,0.00128831,0.00128831,0.00128831
5,75.4975,1.15729,0.78849,1.0111,0.84745,0.89007,0.9333,0.63335,1.13348,0.75807,1.00977,0.0015936,0.0015936,0.0015936
6,90.5103,1.14187,0.77094,0.99617,0.83681,0.89861,0.92727,0.64488,1.0831,0.96274,0.99396,0.00187143,0.00187143,0.00187143
7,104.315,1.11153,0.72875,0.98678,0.84311,0.91142,0.93346,0.66086,1.06421,0.8534,0.98415,0.00184571,0.00184571,0.00184571
8,117.702,1.11298,0.7047,0.9899,0.8956,0.89328,0.95188,0.66236,1.06574,0.72286,0.98974,0.00182,0.00182,0.00182
9,132.942,1.07044,0.66599,0.97734,0.84345,0.89434,0.93271,0.64752,1.08965,0.74861,0.98928,0.00179429,0.00179429,0.00179429
10,147.463,1.09089,0.66344,0.97464,0.88358,0.90928,0.95748,0.67125,1.07301,0.65483,0.98991,0.00176857,0.00176857,0.00176857
11,160.517,1.0608,0.63692,0.97102,0.87488,0.93279,0.95705,0.68809,1.02752,0.67551,0.97172,0.00174286,0.00174286,0.00174286
12,174.302,1.06334,0.62569,0.97451,0.88458,0.9324,0.95784,0.6704,1.09632,0.64074,0.99198,0.00171714,0.00171714,0.00171714
13,192.443,1.07378,0.64146,0.97309,0.88045,0.90385,0.95774,0.6773,1.07156,0.64451,0.98591,0.00169143,0.00169143,0.00169143
14,208.023,1.07643,0.628,0.97476,0.89811,0.89541,0.94693,0.67336,1.06094,0.64291,0.97924,0.00166571,0.00166571,0.00166571
15,223.423,1.04656,0.627,0.9645,0.89699,0.91076,0.96082,0.69662,1.03178,0.58739,0.96701,0.00164,0.00164,0.00164
16,235.449,1.03708,0.59485,0.95729,0.87856,0.93276,0.9617,0.69206,1.03154,0.5773,0.96609,0.00161429,0.00161429,0.00161429
17,249.677,1.04379,0.61104,0.96143,0.88057,0.92067,0.9561,0.67925,1.03131,0.72152,0.97036,0.00158857,0.00158857,0.00158857
18,264.139,1.02377,0.59457,0.94935,0.90129,0.90715,0.96397,0.69821,1.00162,0.61159,0.96532,0.00156286,0.00156286,0.00156286
19,278.332,1.03204,0.58477,0.95908,0.89304,0.92667,0.96651,0.69193,1.02681,0.5528,0.96663,0.00153714,0.00153714,0.00153714
20,291.066,1.02537,0.58253,0.95748,0.91642,0.89648,0.96274,0.6925,1.03321,0.55924,0.96995,0.00151143,0.00151143,0.00151143
21,305.474,1.00852,0.57467,0.95264,0.90898,0.90596,0.96459,0.70868,1.01907,0.54446,0.96528,0.00148571,0.00148571,0.00148571
22,320.597,1.02854,0.58022,0.95769,0.90031,0.93063,0.9666,0.69764,1.02567,0.55446,0.97015,0.00146,0.00146,0.00146
23,334.537,1.00268,0.57024,0.95562,0.92616,0.91782,0.97284,0.71296,0.99389,0.53168,0.95445,0.00143429,0.00143429,0.00143429
24,347.214,1.0113,0.56368,0.94993,0.89437,0.91142,0.9654,0.69332,1.02629,0.60887,0.97099,0.00140857,0.00140857,0.00140857
25,362.524,0.99011,0.56667,0.95056,0.86769,0.93087,0.95542,0.68642,1.00459,0.66487,0.96176,0.00138286,0.00138286,0.00138286
26,377.681,1.00475,0.55969,0.95207,0.90397,0.91782,0.96805,0.71685,1.00208,0.52462,0.95996,0.00135714,0.00135714,0.00135714
27,391.764,0.99614,0.56502,0.94787,0.91411,0.92636,0.97022,0.71128,0.98854,0.53959,0.95827,0.00133143,0.00133143,0.00133143
28,404.077,0.975,0.54341,0.94468,0.91113,0.9191,0.97185,0.7102,1.00627,0.5451,0.95377,0.00130571,0.00130571,0.00130571
29,418.953,0.9802,0.53884,0.94396,0.89303,0.93597,0.96912,0.71036,0.99273,0.53631,0.95596,0.00128,0.00128,0.00128
30,434.036,0.97815,0.54153,0.93551,0.90331,0.93063,0.9644,0.71263,1.00485,0.54026,0.95733,0.00125429,0.00125429,0.00125429
31,446.288,0.98118,0.53686,0.94103,0.90875,0.91889,0.97146,0.69126,1.05859,0.61442,0.97703,0.00122857,0.00122857,0.00122857
32,461.195,1.00009,0.54463,0.94694,0.91837,0.92316,0.97192,0.73214,0.97767,0.50352,0.94755,0.00120286,0.00120286,0.00120286
33,477.332,0.95835,0.5289,0.93509,0.89817,0.92246,0.9618,0.72049,0.97815,0.51993,0.9514,0.00117714,0.00117714,0.00117714
34,492.627,0.96397,0.52717,0.93701,0.90861,0.9445,0.9729,0.73458,0.97785,0.50039,0.9496,0.00115143,0.00115143,0.00115143
35,504.264,0.94703,0.51706,0.93088,0.91313,0.9381,0.96108,0.71544,0.98874,0.51026,0.9511,0.00112571,0.00112571,0.00112571
36,518.929,0.96959,0.52517,0.93739,0.90325,0.9465,0.97295,0.71936,1.00027,0.4967,0.957,0.0011,0.0011,0.0011
37,534.164,0.94214,0.51025,0.92521,0.92353,0.94091,0.97572,0.72542,0.99199,0.49956,0.95561,0.00107429,0.00107429,0.00107429
38,549.065,0.94119,0.51665,0.92819,0.92743,0.92956,0.97048,0.72993,0.97832,0.51225,0.95419,0.00104857,0.00104857,0.00104857
39,560.712,0.95826,0.52692,0.93586,0.92236,0.9285,0.97221,0.71559,1.00129,0.51608,0.96243,0.00102286,0.00102286,0.00102286
40,575.147,0.93821,0.51226,0.93402,0.91695,0.91914,0.95682,0.71192,0.99812,0.51802,0.9586,0.000997143,0.000997143,0.000997143
41,590.254,0.95639,0.51223,0.93787,0.91719,0.91142,0.95946,0.7156,0.99502,0.51574,0.95623,0.000971429,0.000971429,0.000971429
42,605.234,0.94683,0.50951,0.93512,0.92963,0.91636,0.97359,0.71725,0.99615,0.50311,0.95875,0.000945714,0.000945714,0.000945714
43,617.205,0.93724,0.51004,0.92833,0.89537,0.94065,0.97063,0.70992,1.0081,0.53881,0.96168,0.00092,0.00092,0.00092
44,632.557,0.93831,0.5112,0.92837,0.93011,0.92316,0.97535,0.7212,0.98739,0.49961,0.9527,0.000894286,0.000894286,0.000894286
45,647.277,0.90954,0.49314,0.92089,0.93339,0.91676,0.97428,0.72963,0.983,0.48615,0.95351,0.000868571,0.000868571,0.000868571
46,660.451,0.92296,0.49661,0.92725,0.93507,0.92529,0.97579,0.73228,0.98436,0.49277,0.95408,0.000842857,0.000842857,0.000842857
47,673.607,0.93009,0.50116,0.92807,0.9112,0.93917,0.96953,0.7243,0.98136,0.49407,0.95425,0.000817143,0.000817143,0.000817143
48,688.903,0.90815,0.48598,0.92659,0.90242,0.93917,0.9728,0.7284,0.98651,0.49174,0.95655,0.000791429,0.000791429,0.000791429
49,703.614,0.92365,0.49768,0.92081,0.91314,0.94237,0.97501,0.73794,0.9813,0.48715,0.9512,0.000765714,0.000765714,0.000765714
50,715.743,0.92353,0.48944,0.91995,0.92015,0.93469,0.97334,0.73366,0.97003,0.48611,0.95224,0.00074,0.00074,0.00074
51,729.884,0.90462,0.49295,0.92415,0.9071,0.92423,0.96873,0.73268,0.98035,0.50492,0.95676,0.000714286,0.000714286,0.000714286
52,746.15,0.91235,0.48434,0.91963,0.91981,0.92956,0.97369,0.73238,0.98884,0.48029,0.95497,0.000688571,0.000688571,0.000688571
53,759.334,0.91401,0.49126,0.9239,0.90977,0.93597,0.97459,0.7301,0.97132,0.49194,0.95284,0.000662857,0.000662857,0.000662857
54,773.04,0.90523,0.47931,0.91953,0.91715,0.93338,0.97191,0.72643,0.98969,0.49427,0.95743,0.000637143,0.000637143,0.000637143
55,787.43,0.89244,0.48188,0.91826,0.92247,0.93973,0.97086,0.73118,0.98977,0.47491,0.95557,0.000611429,0.000611429,0.000611429
56,802.307,0.8901,0.47018,0.91259,0.91635,0.93525,0.9682,0.73871,0.96194,0.47313,0.94546,0.000585714,0.000585714,0.000585714
